Time	Color	Intensity	Cell_Count
0.0	Blue	10605.154499740667	675
0.0	NoColor	29547.223056257644	24894
0.0	Purple	59799.68407735378	1357
0.0	Red	27988.209975564936	437
0.25	Blue	25250.5932949675	617
0.25	NoColor	30186.839662116876	18380
0.25	Purple	38456.21835641242	646
0.25	Red	23709.13860473567	1380
0.5	Blue	15280.561240411365	1538
0.5	NoColor	14721.697788618907	23296
0.5	Purple	44159.75835154258	829
0.5	Red	24073.980301440675	1264
1.0	Blue	16615.525243917356	710
1.0	NoColor	29026.37689329446	15460
1.0	Purple	62367.11188538238	1881
1.0	Red	23759.36141549736	553
2.0	Blue	9422.036691441612	251
2.0	NoColor	11857.491742895229	15453
2.0	Purple	29090.524782922545	1566
2.0	Red	26953.62729892911	471
3.0	Blue	17400.40869732827	1379
3.0	NoColor	19907.519875897116	13858
3.0	Purple	68796.7740181155	1989
3.0	Red	48675.14621291487	1728
4.0	Blue	27634.67337323051	1192
4.0	NoColor	17777.009749326582	26181
4.0	Purple	45422.241965799425	1482
4.0	Red	26845.603106644987	1975
5.0	Blue	12185.313469154804	304
5.0	NoColor	17233.27517602853	16096
5.0	Purple	89868.9692381304	1336
5.0	Red	23759.190491540685	1389
6.0	Blue	27262.599008576948	1561
6.0	NoColor	34791.0010620497	24554
6.0	Purple	66625.20050694674	2520
6.0	Red	62694.89610156849	1404
