Time	Color	Intensity	Cell_Count
0.0	Blue	26197.50150800272	540
0.0	NoColor	19012.13766322026	19380
0.0	Purple	58789.90586363398	812
0.0	Red	27833.45726012259	1394
0.25	Blue	11142.153734942613	1594
0.25	NoColor	23004.426851180753	21936
0.25	Purple	56539.34023711622	1074
0.25	Red	28471.699679007397	929
0.5	Blue	20632.135315931908	1381
0.5	NoColor	10500.293123831752	18015
0.5	Purple	50151.23881098979	1966
0.5	Red	25143.109687446922	637
1.0	Blue	8668.077101940546	1944
1.0	NoColor	29083.452799414423	11385
1.0	Purple	46341.70243322595	2103
1.0	Red	21663.617978159396	1414
2.0	Blue	10213.999868081204	996
2.0	NoColor	17379.58688309023	11554
2.0	Purple	67574.56993870964	1422
2.0	Red	14430.930835538184	856
3.0	Blue	27469.490798528986	1809
3.0	NoColor	32327.882637492377	17550
3.0	Purple	63731.600155569475	1480
3.0	Red	21973.028516231054	1556
4.0	Blue	29571.895719059714	820
4.0	NoColor	26323.894983398815	23609
4.0	Purple	39523.64770325335	2625
4.0	Red	38735.8103947862	1198
5.0	Blue	6955.575024388139	1949
5.0	NoColor	22576.06533508147	26704
5.0	Purple	95179.09248508728	2045
5.0	Red	25109.77239491315	1846
6.0	Blue	18111.336120563075	1032
6.0	NoColor	25956.514977780338	16816
6.0	Purple	73576.3837435619	1837
6.0	Red	39792.94957157179	1088
