Time	Color	Intensity	Cell_Count
0.0	Blue	7847.614983010582	1546
0.0	NoColor	22221.18790579886	22145
0.0	Purple	48514.2996454057	710
0.0	Red	18025.356462923537	477
0.25	Blue	10701.697937700612	624
0.25	NoColor	24092.56135977749	12286
0.25	Purple	38736.31486604238	1589
0.25	Red	13210.205674721614	1392
0.5	Blue	26745.807135518855	1720
0.5	NoColor	15856.174162917743	22002
0.5	Purple	50390.47392329075	1303
0.5	Red	36802.82764276499	823
1.0	Blue	9330.575068036855	858
1.0	NoColor	31438.864511729582	15412
1.0	Purple	44236.70530924975	1440
1.0	Red	19228.123375223615	1403
2.0	Blue	9816.05871394986	344
2.0	NoColor	13101.27684134173	15866
2.0	Purple	62219.89299174978	1840
2.0	Red	13477.201177029718	786
3.0	Blue	12593.2496611165	1971
3.0	NoColor	15343.344084183202	25926
3.0	Purple	63977.483165786485	2080
3.0	Red	49154.284015664816	904
4.0	Blue	12519.080522017939	1900
4.0	NoColor	14438.26395605945	22057
4.0	Purple	85563.28998345649	2299
4.0	Red	18437.057491437172	2047
5.0	Blue	10125.552406026687	748
5.0	NoColor	29762.759845754677	23304
5.0	Purple	85308.02638959845	2613
5.0	Red	44381.33310481384	1932
6.0	Blue	14315.99626853721	1083
6.0	NoColor	20286.02110696515	24965
6.0	Purple	66914.12753099775	2739
6.0	Red	21389.93755313014	2369
