Time	Color	Intensity	Cell_Count
0.0	Blue	17909.965692561156	1227
0.0	NoColor	10569.484529561938	12573
0.0	Purple	47411.079267892506	1751
0.0	Red	19208.986590167136	1372
0.25	Blue	21914.99093205075	503
0.25	NoColor	21084.55182249574	15282
0.25	Purple	26602.25677004759	1678
0.25	Red	39451.552880763564	586
0.5	Blue	6414.424887262872	1107
0.5	NoColor	24579.855145752357	14144
0.5	Purple	45099.93027930492	1277
0.5	Red	11740.899525861816	477
1.0	Blue	7920.553305463711	1474
1.0	NoColor	20413.30793369934	18682
1.0	Purple	44692.41953704251	1313
1.0	Red	39264.337066786706	1333
2.0	Blue	10105.038340751253	463
2.0	NoColor	29057.534294217465	15154
2.0	Purple	44705.96802563677	1745
2.0	Red	28759.327825169396	1551
3.0	Blue	4076.936142985467	157
3.0	NoColor	24030.145913916516	23357
3.0	Purple	19544.57154174824	913
3.0	Red	34700.95777315979	576
4.0	Blue	10125.303977443085	325
4.0	NoColor	23613.55536352718	17823
4.0	Purple	14569.987889146785	836
4.0	Red	32707.383127248464	540
5.0	Blue	6438.963635695562	100
5.0	NoColor	11056.168021785325	12674
5.0	Purple	22863.00657994347	1816
5.0	Red	48097.40483694477	1115
6.0	Blue	4978.1329819969005	223
6.0	NoColor	16492.15992875074	11764
6.0	Purple	12098.025579400528	1456
6.0	Red	44678.369901535414	1480
