Time	Color	Intensity	Cell_Count
0.0	Blue	19942.03962340158	1417
0.0	NoColor	15985.634820194036	20961
0.0	Purple	43149.57564243876	1714
0.0	Red	15017.455124467464	675
0.25	Blue	13268.022774807598	1007
0.25	NoColor	19803.964791739098	23416
0.25	Purple	26622.469978548193	1042
0.25	Red	34746.7156083003	709
0.5	Blue	16263.332767585967	577
0.5	NoColor	12618.561813022103	11836
0.5	Purple	40014.69641343181	544
0.5	Red	28785.33496831818	1231
1.0	Blue	9191.70018478229	412
1.0	NoColor	21479.121198917586	23527
1.0	Purple	36780.426291698306	1102
1.0	Red	26800.927118878306	1496
2.0	Blue	17602.742160345428	283
2.0	NoColor	20396.382830622504	17586
2.0	Purple	27789.69849066393	606
2.0	Red	30007.40625064294	862
3.0	Blue	15248.937950272833	673
3.0	NoColor	12641.13776188768	20723
3.0	Purple	25088.932561487803	1422
3.0	Red	21418.39238572851	1716
4.0	Blue	5304.476434375681	504
4.0	NoColor	21990.316936455307	20807
4.0	Purple	39143.343393825635	639
4.0	Red	28398.369878052494	1652
5.0	Blue	8256.169768078833	174
5.0	NoColor	17245.83607727851	21005
5.0	Purple	27234.255221207928	827
5.0	Red	49351.4306339911	996
6.0	Blue	6900.811454491618	124
6.0	NoColor	22983.691105670958	15610
6.0	Purple	19028.02071343821	538
6.0	Red	26574.595137944634	1186
