Time	Color	Intensity	Cell_Count
0.0	Blue	15802.780140022564	514
0.0	NoColor	13418.87370555004	22414
0.0	Purple	43486.850405029	1189
0.0	Red	34680.5427405358	1286
0.25	Blue	12059.692624607027	521
0.25	NoColor	18064.64915727128	24218
0.25	Purple	45938.83019655635	1413
0.25	Red	30548.037304570324	313
0.5	Blue	12137.487229280425	726
0.5	NoColor	19721.199749236242	23174
0.5	Purple	47748.24285142653	1446
0.5	Red	21826.87334316602	1033
1.0	Blue	19185.496708324255	943
1.0	NoColor	11849.59264856102	16034
1.0	Purple	39439.564751815844	673
1.0	Red	22728.119104106514	390
2.0	Blue	13137.566511864648	274
2.0	NoColor	16961.907638017	16328
2.0	Purple	24544.692226964144	1655
2.0	Red	29193.237113218187	366
3.0	Blue	13322.070650358552	150
3.0	NoColor	24055.924067877655	18693
3.0	Purple	32572.82320956802	1786
3.0	Red	30515.352811897465	462
4.0	Blue	10486.167489016769	350
4.0	NoColor	16841.78122115128	17074
4.0	Purple	19347.36897771581	765
4.0	Red	29083.297009398888	892
5.0	Blue	9421.75828103893	103
5.0	NoColor	26391.383255179728	12758
5.0	Purple	25790.00518472316	686
5.0	Red	38521.95440711823	441
6.0	Blue	3719.999597592053	300
6.0	NoColor	15676.412179235795	13238
6.0	Purple	11602.030754642863	553
6.0	Red	47064.6921800495	1974
