Time	Color	Intensity	Cell_Count
0.0	Blue	13431.999965306206	1268
0.0	NoColor	23488.63435564866	17958
0.0	Purple	48706.2153170027	1177
0.0	Red	36856.58053853879	1416
0.25	Blue	24703.57315343023	1507
0.25	NoColor	17935.975318685585	20900
0.25	Purple	29096.478015368455	528
0.25	Red	31894.265016995952	584
0.5	Blue	26578.581002844752	205
0.5	NoColor	26721.424652804042	25156
0.5	Purple	62148.86384952417	2095
0.5	Red	29609.256136414373	831
1.0	Blue	26308.22651158655	1752
1.0	NoColor	26032.428602936703	22681
1.0	Purple	36257.542647234	1913
1.0	Red	16129.826119727717	800
2.0	Blue	8581.11712547873	1627
2.0	NoColor	13135.562772979309	18435
2.0	Purple	57103.97752286059	1571
2.0	Red	61140.005858283555	1530
3.0	Blue	39442.83327739895	1321
3.0	NoColor	27501.669809725536	17328
3.0	Purple	52725.43489398351	1610
3.0	Red	80111.1532243551	1620
4.0	Blue	49135.8518181032	1957
4.0	NoColor	19149.880105536886	21210
4.0	Purple	90048.67948634257	2438
4.0	Red	104324.8605069433	1707
5.0	Blue	38038.993381297136	1580
5.0	NoColor	25551.965099407054	23126
5.0	Purple	120550.87254697127	1320
5.0	Red	98949.34462237929	1145
6.0	Blue	66543.5805664371	2532
6.0	NoColor	33483.39124152055	14837
6.0	Purple	179721.942694608	3616
6.0	Red	109877.08901766669	1760
