Time	Color	Intensity	Cell_Count
0.0	Blue	23753.710585683217	706
0.0	NoColor	21015.885690645497	22163
0.0	Purple	44846.925642789705	1153
0.0	Red	15610.983508384288	732
0.25	Blue	12676.895829866437	1274
0.25	NoColor	23664.86695415235	12331
0.25	Purple	25156.26361469268	1364
0.25	Red	32005.081135283337	587
0.5	Blue	6017.9122853060435	437
0.5	NoColor	26083.75305272598	18521
0.5	Purple	25765.183380565144	1722
0.5	Red	12363.93679752487	1020
1.0	Blue	34822.95612088033	230
1.0	NoColor	31941.516855939542	11521
1.0	Purple	44307.63982416483	1402
1.0	Red	24761.26931148387	1280
2.0	Blue	23828.16295950281	647
2.0	NoColor	13898.308766855895	17984
2.0	Purple	51263.85890469927	990
2.0	Red	31556.710561698328	1553
3.0	Blue	44621.58043842255	2131
3.0	NoColor	39682.52273101407	25029
3.0	Purple	86223.70766441202	2334
3.0	Red	80334.00057341049	2017
4.0	Blue	21404.83384410227	2052
4.0	NoColor	40991.10611910104	14749
4.0	Purple	126546.0499272658	1163
4.0	Red	85239.58491147058	734
5.0	Blue	47785.65948096942	722
5.0	NoColor	42222.72035538973	17110
5.0	Purple	124845.50008519216	1555
5.0	Red	54192.4663561013	2698
6.0	Blue	53922.24790292368	386
6.0	NoColor	49745.48819884629	25947
6.0	Purple	173838.9837116916	2294
6.0	Red	65038.57097333409	942
